Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_358.jpg;0;0;1;0;99.66999;85.58897;0.000230335;326.8594;-6.726502E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_420.jpg;0;0;0;0;99.66999;85.58897;0.0002288616;326.8594;-9.448186E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_486.jpg;0;0;0;0;99.66999;85.58897;0.0002278589;326.8594;-1.017958E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_553.jpg;0;0;0;0;99.66999;85.58897;0.000227806;326.8594;-9.604829E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_620.jpg;0;0;0;0;99.66999;85.58897;0.0002280543;326.8594;-1.004269E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_687.jpg;0;0;0;0;99.66999;85.58897;0.0002285158;326.8594;-1.053524E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_753.jpg;0;0;0;0;99.66999;85.58897;0.0002279351;326.8594;-1.00388E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_820.jpg;0;0;0;0;99.66999;85.58897;0.0002282343;326.8594;-1.038281E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_886.jpg;0;0;0;0;99.66999;85.58897;0.0002283789;326.8594;-1.033977E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_18_953.jpg;0;0;0;0;99.66999;85.58897;0.0002281736;326.8594;-1.004657E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_020.jpg;0;0;0;0;99.66999;85.58897;0.0002286055;326.8594;-9.248832E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_086.jpg;0;0;0;0;99.66999;85.58897;0.000229182;326.8594;-8.408053E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_153.jpg;0;0;0;0;99.66999;85.58897;0.0002303626;326.8594;-7.348177E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_220.jpg;0;0;0;0;99.66999;85.58897;0.0002307747;326.8594;-5.690258E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_287.jpg;0;0;0;0;99.66999;85.58897;0.000231656;326.8594;-4.28637E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_353.jpg;-4.005779;0;0;0;99.66999;85.58897;0.0002313019;326.3789;-1.068598E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_420.jpg;-7.991817;0;0;0;99.66999;85.58897;0.0002313206;324.7008;8.876603E-06
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_486.jpg;-11.99442;0;0;0;99.66999;85.58897;0.0002314541;322.662;1.798424E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_553.jpg;-15;0;0;0;99.66999;85.58897;0.0002305378;320.0831;2.852181E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_620.jpg;-15;0;0;0;99.66999;85.58897;0.0002288723;316.4832;3.963084E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_687.jpg;-10.99836;0;0;0;99.66999;85.58897;0.0002285432;314.3834;4.234259E-05
/Users/jared/Desktop/Training/UdacityRobotics/RoboND-Rover-Project/output/IMG/robocam_2017_12_17_09_23_19_753.jpg;-11.00328;0;0;0;99.66999;85.58897;0.0002281375;312.1633;4.587228E-05
